code,description
10000-8,R wave dur L-AVR
10001-6,R wave dur L-I
10002-4,R wave dur L-II
10003-2,R wave dur L-III
10004-0,R wave dur L-V1
10005-7,R wave dur L-V2
10006-5,R wave dur L-V3
10007-3,R wave dur L-V4
10008-1,R wave dur L-V5
1000-9,DBG Ab SerPl BPU Ql
10009-9,R wave dur L-V6
10010-7,R' wave Amp L-AVF
10011-5,R' wave Amp L-AVL
10012-3,R' wave Amp L-AVR
10013-1,R' wave Amp L-I
10014-9,R' wave Amp L-II
10015-6,R' wave Amp L-III
10016-4,R' wave Amp L-V1
1001-7,DBG Ab SerPl Donr Ql
10017-2,R' wave Amp L-V2
10018-0,R' wave Amp L-V3
10019-8,R' wave Amp L-V4
10020-6,R' wave Amp L-V5
10021-4,R' wave Amp L-V6
10022-2,R' wave dur L-AVF
10023-0,R' wave dur L-AVL
10024-8,R' wave dur L-AVR
1002-5,DBG Ab SerPl Ql
10025-5,R' wave dur L-I
10026-3,R' wave dur L-II
10027-1,R' wave dur L-III
10028-9,R' wave dur L-V1
10029-7,R' wave dur L-V2
10030-5,R' wave dur L-V3
10031-3,R' wave dur L-V4
10032-1,R' wave dur L-V5
1003-3,IAT Comp-Sp Reag SerPl Ql
10033-9,R' wave dur L-V6
10034-7,S wave Amp L-AVF
10035-4,S wave Amp L-AVL
10036-2,S wave Amp L-AVR
10037-0,S wave Amp L-I
10038-8,S wave Amp L-II
10039-6,S wave Amp L-III
10040-4,S wave Amp L-V1
1004-1,DAT Comp-Sp Reag RBC Ql
10041-2,S wave Amp L-V2
10042-0,S wave Amp L-V3
10043-8,S wave Amp L-V4
10044-6,S wave Amp L-V5
10045-3,S wave Amp L-V6
10046-1,S wave dur L-AVF
10047-9,S wave dur L-AVL
10048-7,S wave dur L-AVR
10049-5,S wave dur L-I
10050-3,S wave dur L-II
10051-1,S wave dur L-III
10052-9,S wave dur L-V1
10053-7,S wave dur L-V2
10054-5,S wave dur L-V3
10055-2,S wave dur L-V4
10056-0,S wave dur L-V5
10057-8,S wave dur L-V6
1005-8,IAT IgG-Sp Reag SerPl Ql
10058-6,S' wave Amp L-AVF
10059-4,S' wave Amp L-AVL
10060-2,S' wave Amp L-AVR
10061-0,S' wave Amp L-I
10062-8,S' wave Amp L-II
10063-6,S' wave Amp L-III
10064-4,S' wave Amp L-V1
10065-1,S' wave Amp L-V2
1006-6,DAT IgG-Sp Reag RBC-Imp
10066-9,S' wave Amp L-V3
10067-7,S' wave Amp L-V4
10068-5,S' wave Amp L-V5
10069-3,S' wave Amp L-V6
10070-1,S' wave dur L-AVF
10071-9,S' wave dur L-AVL
10072-7,S' wave dur L-AVR
10073-5,S' wave dur L-I
1007-4,DAT Poly-Sp Reag RBC Ql
10074-3,S' wave dur L-II
10075-0,S' wave dur L-III
10076-8,S' wave dur L-V1
10077-6,S' wave dur L-V2
10078-4,S' wave dur L-V3
10079-2,S' wave dur L-V4
100-8,Cefoperazone Islt MIC
10080-0,S' wave dur L-V5
10081-8,S' wave dur L-V6
1008-2,IAT Poly-Sp Reag SerPl Ql
10082-6,ST I-Amp 6ms L-AVF
10083-4,ST I-Amp 6ms L-AVL
10084-2,ST I-Amp 6ms L-AVR
10085-9,ST I-Amp 6ms L-I
10086-7,ST I-Amp 6ms L-II
10087-5,ST I-Amp 6ms L-III
10088-3,ST I-Amp 6ms L-V1
10089-1,ST I-Amp 6ms L-V2
1009-0,Deprecated DAT Poly-Sp Reag RBC Ql
10090-9,ST I-Amp 6ms L-V3
10091-7,ST I-Amp 6ms L-V4
10092-5,ST I-Amp 6ms L-V5
10093-3,ST I-Amp 6ms L-V6
10094-1,ST Slope L-AVF
10095-8,ST Slope L-AVL
10096-6,ST Slope L-AVR
10097-4,ST Slope L-I
10098-2,ST Slope L-II
10099-0,ST Slope L-III
10100-6,ST Slope L-V1
10101-4,ST Slope L-V2
10102-2,ST Slope L-V3
10103-0,ST Slope L-V4
10104-8,ST Slope L-V5
10105-5,ST Slope L-V6
10106-3,ST wave ED L-AVF
10107-1,ST wave ED L-AVL
1010-8,E sup(w) Ab SerPl BPU Ql
10108-9,ST wave ED L-AVR
10109-7,ST wave ED L-I
10110-5,ST wave ED L-II
10111-3,ST wave ED L-III
10112-1,ST wave ED L-V1
10113-9,ST wave ED L-V2
10114-7,ST wave ED L-V3
10115-4,ST wave ED L-V4
1011-6,E sup(w) Ab SerPl Donr Ql
10116-2,ST wave ED L-V5
10117-0,ST wave ED L-V6
10118-8,ST wave MD L-AVF
10119-6,ST wave MD L-AVL
10120-4,ST wave MD L-AVR
10121-2,ST wave MD L-I
10122-0,ST wave MD L-II
10123-8,ST wave MD L-III
1012-4,E sup(w) Ab SerPl Ql
10124-6,ST wave MD L-V1
10125-3,ST wave MD L-V2
10126-1,ST wave MD L-V3
10127-9,ST wave MD L-V4
10128-7,ST wave MD L-V5
10129-5,ST wave MD L-V6
10130-3,T' wave Amp L-AVF
10131-1,T' wave Amp L-AVL
1013-2,E sup(w) Ag RBC BPU Ql
10132-9,T' wave Amp L-AVR
10133-7,T' wave Amp L-I
10134-5,T' wave Amp L-II
10135-2,T' wave Amp L-III
10136-0,T' wave Amp L-V1
10137-8,T' wave Amp L-V2
10138-6,T' wave Amp L-V3
10139-4,T' wave Amp L-V4
1014-0,E sup(w) Ag RBC Donr Ql
10140-2,T' wave Amp L-V5
10141-0,T' wave Amp L-V6
10142-8,T wave Amp L-AVF
10143-6,T wave Amp L-AVL
10144-4,T wave Amp L-AVR
10145-1,T wave Amp L-I
10146-9,T wave Amp L-II
10147-7,T wave Amp L-III
10148-5,T wave Amp L-V1
10149-3,T wave Amp L-V2
10150-1,T wave Amp L-V3
10151-9,T wave Amp L-V4
10152-7,T wave Amp L-V5
10153-5,T wave Amp L-V6
10154-3,Chief complaint Reported
10155-0,Hx of Allergies
10156-8,Hx of Childhood diseases
1015-7,E sup(w) Ag RBC Ql
10157-6,Family member diseases Hx
10158-4,Hx of Functional status
10159-2,Hx of Industrial exposure
101-6,Cefoperazone Islt KB
10160-0,Hx of Medication use
10161-8,Hx of Occupational exposure
10162-6,Pregnancies Hx
10163-4,Pregnancies Hx
10164-2,Hx of Pres illness
1016-5,E Ab SerPl BPU Ql
10165-9,Deprecated Psych symptoms & diseases Hx
10166-7,Hx of Social function
10167-5,Hx of Surg proc
10168-3,Hx of CVS disorders
10169-1,Hx of Ear disorders
10170-9,Hx of Endocrine disorders
10171-7,Hx of Eyes disorders
10172-5,Hx of Hematologic disorders
1017-3,E Ab SerPl Donr Ql
10173-3,Hx of Musculoskeletal disorders
10174-1,Hx of Nose disorders
10175-8,Hx of Oral cavity disorders
10176-6,Hx of Reproductive disorders
10177-4,Hx of Respiratory disorders
10178-2,Hx of Skin disorders
10179-0,Hx of Throat+Neck disorders
10180-8,Hx of Throat+Neck disorders
1018-1,E Ab SerPl Ql
10181-6,Hx of Urinary disorders
10182-4,Hx of Travel
10183-2,Hospital discharge medications
10184-0,Hospital discharge physical findings
10185-7,Hospital discharge procedures
10186-5,Identifying information Observ
10187-3,Review of systems
10188-1,Review of systems overview
10189-9,Review of systems overview
10190-7,Mental status
10191-5,Phys find Abd
10192-3,Phys find Back
10193-1,Phys find Brsts
10194-9,Phys find Deep tendon reflexes
10195-6,Phys find Ear
10196-4,Phys find Extremities
10197-2,Phys find Eye
10198-0,Phys find GU Tract
1019-9,E Ag RBC BPU Ql
10199-8,Phys find Head
10200-4,Phys find Hrt
10201-2,Phys find Mouth+Throat+Teeth
10202-0,Phys find Neurologic
10203-8,Phys find Nose
10204-6,Phys find Pelvis
10205-3,Phys find Rectum
10206-1,Phys find Skin
